,data,valor
0,01/01/1980,6.62
1,01/02/1980,4.62
2,01/03/1980,6.04
3,01/04/1980,5.29
4,01/05/1980,5.70
5,01/06/1980,5.31
6,01/07/1980,5.55
7,01/08/1980,4.95
8,01/09/1980,4.23
9,01/10/1980,9.48
10,01/11/1980,6.67
11,01/12/1980,6.61
12,01/01/1981,6.84
13,01/02/1981,6.40
14,01/03/1981,4.97
15,01/04/1981,6.46
16,01/05/1981,5.56
17,01/06/1981,5.52
18,01/07/1981,6.26
19,01/08/1981,5.50
20,01/09/1981,5.26
21,01/10/1981,5.08
22,01/11/1981,5.27
23,01/12/1981,5.93
24,01/01/1982,6.97
25,01/02/1982,6.64
26,01/03/1982,5.71
27,01/04/1982,5.89
28,01/05/1982,6.66
29,01/06/1982,7.10
30,01/07/1982,6.36
31,01/08/1982,5.97
32,01/09/1982,5.08
33,01/10/1982,4.44
34,01/11/1982,5.29
35,01/12/1982,7.81
36,01/01/1983,8.64
37,01/02/1983,7.86
38,01/03/1983,7.34
39,01/04/1983,6.58
40,01/05/1983,6.48
41,01/06/1983,9.88
42,01/07/1983,10.08
43,01/08/1983,9.11
44,01/09/1983,10.30
45,01/10/1983,8.87
46,01/11/1983,7.38
47,01/12/1983,8.68
48,01/01/1984,9.67
49,01/02/1984,9.50
50,01/03/1984,8.94
51,01/04/1984,9.54
52,01/05/1984,9.05
53,01/06/1984,10.08
54,01/07/1984,9.72
55,01/08/1984,9.35
56,01/09/1984,11.75
57,01/10/1984,10.44
58,01/11/1984,10.53
59,01/12/1984,11.98
60,01/01/1985,11.76
61,01/02/1985,10.87
62,01/03/1985,10.16
63,01/04/1985,8.20
64,01/05/1985,7.20
65,01/06/1985,8.49
66,01/07/1985,10.31
67,01/08/1985,12.05
68,01/09/1985,11.12
69,01/10/1985,10.62
70,01/11/1985,13.97
71,01/12/1985,15.07
72,01/01/1986,14.37
73,01/02/1986,12.72
74,01/03/1986,4.77
75,01/04/1986,0.78
76,01/05/1986,1.40
77,01/06/1986,1.27
78,01/07/1986,1.71
79,01/08/1986,3.55
80,01/09/1986,1.72
81,01/10/1986,1.90
82,01/11/1986,5.45
83,01/12/1986,11.65
84,01/01/1987,13.21
85,01/02/1987,12.64
86,01/03/1987,16.37
87,01/04/1987,19.10
88,01/05/1987,21.45
89,01/06/1987,19.71
90,01/07/1987,9.21
91,01/08/1987,4.87
92,01/09/1987,7.78
93,01/10/1987,11.22
94,01/11/1987,15.08
95,01/12/1987,14.15
96,01/01/1988,18.89
97,01/02/1988,15.70
98,01/03/1988,17.60
99,01/04/1988,19.29
100,01/05/1988,17.42
101,01/06/1988,22.00
102,01/07/1988,21.91
103,01/08/1988,21.59
104,01/09/1988,27.45
105,01/10/1988,25.62
106,01/11/1988,27.94
107,01/12/1988,28.70
108,01/01/1989,37.49
109,01/02/1989,16.78
110,01/03/1989,6.82
111,01/04/1989,8.33
112,01/05/1989,17.92
113,01/06/1989,28.65
114,01/07/1989,27.74
115,01/08/1989,33.71
116,01/09/1989,37.56
117,01/10/1989,39.77
118,01/11/1989,47.82
119,01/12/1989,51.50
120,01/01/1990,67.55
121,01/02/1990,75.73
122,01/03/1990,82.39
123,01/04/1990,15.52
124,01/05/1990,7.59
125,01/06/1990,11.75
126,01/07/1990,12.92
127,01/08/1990,12.88
128,01/09/1990,14.41
129,01/10/1990,14.36
130,01/11/1990,16.81
131,01/12/1990,18.44
132,01/01/1991,20.75
133,01/02/1991,20.72
134,01/03/1991,11.92
135,01/04/1991,4.99
136,01/05/1991,7.43
137,01/06/1991,11.19
138,01/07/1991,12.41
139,01/08/1991,15.63
140,01/09/1991,15.63
141,01/10/1991,20.23
142,01/11/1991,25.21
143,01/12/1991,23.71
144,01/01/1992,25.94
145,01/02/1992,24.32
146,01/03/1992,21.40
147,01/04/1992,19.93
148,01/05/1992,24.86
149,01/06/1992,20.21
150,01/07/1992,21.83
151,01/08/1992,22.14
152,01/09/1992,24.63
153,01/10/1992,25.24
154,01/11/1992,22.49
155,01/12/1992,25.24
156,01/01/1993,30.35
157,01/02/1993,24.98
158,01/03/1993,27.26
159,01/04/1993,27.75
160,01/05/1993,27.69
161,01/06/1993,30.07
162,01/07/1993,30.72
163,01/08/1993,32.96
164,01/09/1993,35.69
165,01/10/1993,33.92
166,01/11/1993,35.56
167,01/12/1993,36.84
168,01/01/1994,41.31
169,01/02/1994,40.27
170,01/03/1994,42.75
171,01/04/1994,42.68
172,01/05/1994,44.03
173,01/06/1994,47.43
174,01/07/1994,6.84
175,01/08/1994,1.86
176,01/09/1994,1.53
177,01/10/1994,2.62
178,01/11/1994,2.81
179,01/12/1994,1.71
180,01/01/1995,1.70
181,01/02/1995,1.02
182,01/03/1995,1.55
183,01/04/1995,2.43
184,01/05/1995,2.67
185,01/06/1995,2.26
186,01/07/1995,2.36
187,01/08/1995,0.99
188,01/09/1995,0.99
189,01/10/1995,1.41
190,01/11/1995,1.47
191,01/12/1995,1.56
192,01/01/1996,1.34
193,01/02/1996,1.03
194,01/03/1996,0.35
195,01/04/1996,1.26
196,01/05/1996,1.22
197,01/06/1996,1.19
198,01/07/1996,1.11
199,01/08/1996,0.44
200,01/09/1996,0.15
201,01/10/1996,0.30
202,01/11/1996,0.32
203,01/12/1996,0.47
204,01/01/1997,1.18
205,01/02/1997,0.50
206,01/03/1997,0.51
207,01/04/1997,0.88
208,01/05/1997,0.41
209,01/06/1997,0.54
